request_item,expected_material_or_variable,status,reason,current_replacement,may_be_described_as_original
1,Contemporaneous 31-province coefficient/input matrix,unavailable_in_retained_archive,"No province-level input workbook or matrix file is present among the retained manuscript and repository materials",03_Reconstructed_31_Province_Inputs.xlsx,no
1,"Original region-index-to-province mapping r01-r31",unavailable_in_retained_archive,"The manuscript defines 31 regions but does not disclose the row order",data/reconstructed/province_inputs.csv,no
1,"Production inputs by province/year/sector: marine capture; freshwater capture; marine aquaculture; freshwater aquaculture",unavailable_in_retained_archive,"The contemporaneous workbook is absent; a later official 2024 NBS table is available as replacement evidence","data/source/nbs_2024_31_province_public_panel.csv and data/reconstructed/coefficient_matrix_248_rows.csv",no
1,"Utilisation split by province between fresh sales and deep processing",unavailable_in_retained_archive,"No province-by-mode historical table is retained",data/reconstructed/coefficient_matrix_248_rows.csv,no
1,"Regional workforce N_r and unit-income coefficients",unavailable_in_retained_archive,"The manuscript gives definitions but not the 31-region values or construction workbook",data/reconstructed/province_inputs.csv and sector_mode_coefficients.csv,no
1,"Digitalisation inputs: VMS/AIS density; traceability adoption; temperature-monitoring coverage; EWM weights; D_r",unavailable_in_retained_archive,"The manuscript lists dimensions but not observations, normalisation bounds, entropy weights, or final regional index","Official 2024 enterprise e-commerce observations plus a clearly labelled external digital proxy in data/reconstructed/province_inputs.csv",no
1,"Marginal output values, processing/marketing values, and supply-chain costs",unavailable_in_retained_archive,"No coefficient table or source workbook is retained",data/reconstructed/sector_mode_coefficients.csv,no
1,"Regional ecological weights and regional TAC limits",unavailable_in_retained_archive,"The manuscript defines the quantities but does not publish the province-level values","Official 2024 wastewater observations plus a clearly labelled pressure proxy in coefficient_matrix_248_rows.csv; national constraints in national_constraints.csv",no
1,"Regional cold-storage throughput, cold-chain capacity and 2014-2023 moving-average CCI",unavailable_in_retained_archive,"The manuscript cites the China Fisheries Statistical Yearbook but the underlying extracted workbook and moving-average calculation file are not retained",data/reconstructed/province_inputs.csv,no
1,"Regional fleet-power limits, minimum supply and flow-balance inputs",unavailable_in_retained_archive,"No province-level constraint file is retained",data/reconstructed/province_inputs.csv and national_constraints.csv,no
2,"Original raw/source spreadsheets used to build the matrix",unavailable_in_retained_archive,"No contemporaneous raw workbook, cleaned workbook, or join/interpolation file is present","data/source/ contains replacement official-source transcriptions, national reconciliations and direct URLs",no
2,"Preprocessing log: unit conversion, interpolation, moving-average completion, harmonisation and EWM calculation",unavailable_in_retained_archive,"The manuscript describes these procedures but no historical row-level transformation log is retained","06_PUBLIC_DATA_AND_REVERSE_CALIBRATION_METHOD.md; data/reconstructed/derivation_rules.csv; variable_dictionary.csv",no
3,"Original seeds, initial populations and 30-run configuration snapshot",unavailable_in_retained_archive,"The manuscript reports 30 runs and aggregate settings but no contemporaneous run configuration is retained",runs/new_30run_surrogate/config_snapshot.yaml,no
3,"Original per-generation populations, objectives, constraints, feasibility and reference-point relocation histories",unavailable_in_retained_archive,"No historical run directory or logs are present",runs/new_30run_surrogate/generation_log.csv and reference_relocation_log.csv,no
3,"Original final decision vectors and non-dominated fronts",unavailable_in_retained_archive,"No historical population or Pareto-front files are present",runs/new_30run_surrogate/final_population_decision_vectors.csv and final_population_objectives_constraints.csv,no
3,"Original HV normalisation, HV reference point, IGD reference front and per-run metric values",unavailable_in_retained_archive,"The manuscript reports aggregate/figure values but does not disclose the full metric definition or reference set",runs/new_30run_surrogate/metric_definition.json and metric_recomputation_check.csv,no
3,"Original runtime versions, hardware, elapsed time and random-number environment",unavailable_in_retained_archive,"No contemporaneous environment lock or machine log is retained",runs/new_30run_surrogate/run_metadata.json,no
3,"Original sensitivity-analysis and ablation run logs",unavailable_in_retained_archive,"Only plotted/aggregate results are present",../results/data/ and ../implementations/figure_06 through figure_10,no
